2018-05-14:11:30,05/14/2018,11:30:00,18.02,7.15,6.8,72.01,crbuoy
2018-05-14:11:45,05/14/2018,11:45:00,18.05,7.15,6.81,72.17,crbuoy
2018-05-14:12:00,05/14/2018,12:00:00,18.07,7.15,6.8,72.12,crbuoy
2018-05-14:12:15,05/14/2018,12:15:00,18.17,7.15,6.77,71.91,crbuoy
2018-05-14:12:30,05/14/2018,12:30:00,18.15,7.15,6.73,71.43,crbuoy
2018-05-14:12:45,05/14/2018,12:45:00,18.23,7.15,6.73,71.62,crbuoy
2018-05-14:13:00,05/14/2018,13:00:00,18.28,7.16,6.77,72.06,crbuoy
2018-05-14:13:15,05/14/2018,13:15:00,18.46,7.16,6.8,72.7,crbuoy
2018-05-14:13:30,05/14/2018,13:30:00,18.53,7.16,6.82,73.01,crbuoy
2018-05-14:13:45,05/14/2018,13:45:00,18.66,7.16,6.83,73.27,crbuoy
2018-05-14:14:00,05/14/2018,14:00:00,18.85,7.16,6.82,73.44,crbuoy
2018-05-14:14:15,05/14/2018,14:15:00,19.03,7.16,6.8,73.54,crbuoy
2018-05-14:14:30,05/14/2018,14:30:00,19.11,7.16,6.84,74.07,crbuoy
2018-05-14:14:45,05/14/2018,14:45:00,19.16,7.17,6.9,74.73,crbuoy
2018-05-14:15:00,05/14/2018,15:00:00,19.06,7.17,6.85,74.03,crbuoy
2018-05-14:15:15,05/14/2018,15:15:00,18.91,7.17,6.98,75.24,crbuoy
2018-05-14:15:30,05/14/2018,15:30:00,18.85,7.17,7,75.38,crbuoy
2018-05-14:15:45,05/14/2018,15:45:00,18.88,7.17,7.02,75.68,crbuoy
2018-05-14:16:00,05/14/2018,16:00:00,18.8,7.17,7,75.38,crbuoy
2018-05-14:16:15,05/14/2018,16:15:00,18.89,7.18,7.2,77.65,crbuoy
2018-05-14:16:30,05/14/2018,16:30:00,19.01,7.19,7.24,78.24,crbuoy
2018-05-14:16:45,05/14/2018,16:45:00,18.88,7.18,7.14,76.96,crbuoy
2018-05-14:17:00,05/14/2018,17:00:00,18.81,7.18,7.09,76.26,crbuoy
2018-05-14:17:15,05/14/2018,17:15:00,18.89,7.17,7.04,75.94,crbuoy
